player_id,player_name,draft_year,draft_round,draft_number,draft_method_id
1631254,Kenneth Lofton Jr.,Undrafted,Undrafted,Undrafted,4
1641754,Seth Lundy,2023,2,46,2
1626246,Boban Marjanovic,Undrafted,Undrafted,Undrafted,4
202083,Wesley Matthews,Undrafted,Undrafted,Undrafted,4
1630219,Skylar Mays,2020,2,50,2
1629667,Jalen McDaniels,2019,2,52,2
201580,JaVale McGee,2008,1,18,1
1629002,Chimezie Metu,2018,2,49,2
1630600,Isaiah Mobley,2022,2,49,2
1629875,Xavier Moon,Undrafted,Undrafted,Undrafted,4
202694,Marcus Morris Sr.,2011,1,14,1
203488,Mike Muscala,2013,2,44,2
1630227,Daishen Nix,Undrafted,Undrafted,Undrafted,4
1629670,Jordan Nwora,2020,2,45,2
1630647,Eugene Omoruyi,Undrafted,Undrafted,Undrafted,4
1626224,Cedi Osman,2015,2,31,2
1630197,Aleksej Pokusevski,2020,1,17,1
1630554,Jason Preston,2021,2,33,2
1629629,Cam Reddish,2019,1,10,1
1626196,Josh Richardson,2015,2,40,2
1629010,Jerome Robinson,2018,1,13,1
1631115,Orlando Robinson,Undrafted,Undrafted,Undrafted,4
201565,Derrick Rose,2008,1,1,1
1630346,Matt Ryan,Undrafted,Undrafted,Undrafted,4
1629677,Luka Samanic,2019,1,19,1
1631257,Jermaine Samuels Jr.,Undrafted,Undrafted,Undrafted,4
1641766,Adama Sanogo,Undrafted,Undrafted,Undrafted,4
1630846,Olivier Sarr,Undrafted,Undrafted,Undrafted,4
1629678,Admiral Schofield,2019,2,42,2
1631220,Dereon Seabron,Undrafted,Undrafted,Undrafted,4
1641771,Jalen Slawson,2023,2,54,2
1631173,Terquavion Smith,Undrafted,Undrafted,Undrafted,4
1628372,Dennis Smith Jr.,2017,1,9,1
1631306,Cole Swider,Undrafted,Undrafted,Undrafted,4
1628464,Daniel Theis,Undrafted,Undrafted,Undrafted,4
202738,Isaiah Thomas,2011,2,60,2
1628426,Sasha Vezenkov,2017,2,57,2
1630688,Ish Wainright,Undrafted,Undrafted,Undrafted,4
203933,T.J. Warren,2014,1,14,1
1630613,Duane Washington Jr.,Undrafted,Undrafted,Undrafted,4
1629139,Yuta Watanabe,Undrafted,Undrafted,Undrafted,4
1631214,Alondes Williams,Undrafted,Undrafted,Undrafted,4
1642013,Malik Williams,Undrafted,Undrafted,Undrafted,4
1629685,Dylan Windler,2019,1,26,1
1631209,Isaiah Wong,2023,2,55,2
1626174,Christian Wood,Undrafted,Undrafted,Undrafted,4
201152,Thaddeus Young,2007,1,12,1
1630209,Omer Yurtseven,Undrafted,Undrafted,Undrafted,4
203469,Cody Zeller,2013,1,4,1
