PERSON_ID,FULL_NAME,DRAFT_YEAR
1630170,Devin Vassell,2020.0
1629216,Gabe Vincent,
1641774,Tristan Vukcevic,2023.0
202696,Nikola Vučević,2011.0
1629731,Dean Wade,
1630532,Franz Wagner,2021.0
1629021,Moritz Wagner,2018.0
1631133,Jabari Walker,2022.0
1641716,Jarace Walker,2023.0
1629022,Lonnie Walker IV,2018.0
1641717,Cason Wallace,2023.0
1630811,Keaton Wallace,
1641775,Jordan Walsh,2023.0
1642266,Ja'Kobe Walter,2024.0
1642276,Kel'el Ware,2024.0
1629023,P.J. Washington,2019.0
1631102,TyTy Washington Jr.,2022.0
1630322,Lindy Waters III,
1630570,Trendon Watford,
1641817,Anton Watson,2024.0
1631212,Peyton Watson,2022.0
1642377,Jaylen Wells,2024.0
1641705,Victor Wembanyama,2023.0
1631104,Blake Wesley,2022.0
201566,Russell Westbrook,2008.0
1630762,Phillip Wheeler,
1629632,Coby White,2019.0
1628401,Derrick White,2017.0
1641727,Dariq Whitehead,2023.0
1641715,Cam Whitmore,2023.0
1630598,Aaron Wiggins,2021.0
203952,Andrew Wiggins,2014.0
1631214,Alondes Williams,
1630314,Brandon Williams,
1642262,Cody Williams,2024.0
1629684,Grant Williams,2019.0
1631114,Jalen Williams,2022.0
1631119,Jaylin Williams,2022.0
1629026,Kenrich Williams,
1631109,Mark Williams,2022.0
1631466,Nate Williams,
1630172,Patrick Williams,2020.0
1630533,Ziaire Williams,2021.0
1629057,Robert Williams III,2018.0
1631246,Vince Williams Jr.,2022.0
1629627,Zion Williamson,2019.0
1630592,Jalen Wilson,2023.0
1630164,James Wiseman,2020.0
1631209,Isaiah Wong,2023.0
1626153,Delon Wright,2015.0
1627824,Guerschon Yabusele,2016.0
1642385,Cui Yongxi,
1642443,Jahmir Young,
1629027,Trae Young,2018.0
1627826,Ivica Zubac,2016.0
1641783,Tristan da Silva,2024.0
1628427,Vlatko Čančar,2017.0
203967,Dario Šarić,2014.0
