PERSON_ID,FULL_NAME,DRAFT_YEAR
1626166,Cameron Payne,2015.0
203901,Elfrid Payton,2014.0
1627780,Gary Payton II,
1641809,Drew Peterson,
1641763,Julian Phillips,2023.0
1629618,Jalen Pickett,2023.0
1630590,Scotty Pippen Jr.,
1631342,Daeqwon Plowden,
203486,Mason Plumlee,2013.0
1641764,Brandin Podziemski,2023.0
1627751,Jakob Poeltl,2016.0
1629673,Jordan Poole,2019.0
1641854,Craig Porter Jr.,
1629645,Kevin Porter Jr.,2019.0
1629008,Michael Porter Jr.,2018.0
1626171,Bobby Portis,2015.0
204001,Kristaps Porziņģis,2015.0
1642366,Quinten Post,2024.0
1630695,Micah Potter,
203939,Dwight Powell,2014.0
1626181,Norman Powell,2015.0
1627752,Taurean Prince,2016.0
1630202,Payton Pritchard,2020.0
1641765,Olivier-Maxence Prosper,2023.0
1642389,Zyon Pullin,
1630243,Trevelin Queen,
1629674,Neemias Queta,2021.0
1630193,Immanuel Quickley,2020.0
1631311,Lester Quinones,
203944,Julius Randle,2014.0
1641871,Duop Reath,
1630559,Austin Reaves,
1629629,Cam Reddish,2019.0
1630194,Paul Reed,2020.0
1642024,Alex Reese,
1641810,Antonio Reeves,2024.0
1629675,Naz Reid,
1631197,Jared Rhoden,
1630208,Nick Richards,2020.0
1626196,Josh Richardson,2015.0
1642258,Zaccharie Risacher,2024.0
1641857,Liam Robbins,
1629130,Duncan Robinson,
1629011,Mitchell Robinson,2018.0
1631115,Orlando Robinson,
1630526,Jeremiah Robinson-Earl,2021.0
1631223,David Roddy,2022.0
1631157,Ryan Rollins,2022.0
1642050,Jackson Rowe,
1626179,Terry Rozier,2015.0
1641712,Rayan Rupert,2023.0
1626156,D'Angelo Russell,2015.0
1630346,Matt Ryan,
1627734,Domantas Sabonis,2016.0
1642275,Tidjane Salaün,2024.0
1641766,Adama Sanogo,
1630611,Gui Santos,2022.0
1642259,Alex Sarr,2024.0
1631204,Marcus Sasser,2023.0
1631248,Baylor Scheierman,2024.0
203471,Dennis Schröder,2013.0
1630578,Alperen Sengun,2021.0
1641729,Brice Sensabaugh,2023.0
1629012,Collin Sexton,2018.0
1629013,Landry Shamet,2018.0
1630545,Terrence Shannon Jr.,2024.0
1630549,Day'Ron Sharpe,2021.0
1631101,Shaedon Sharpe,2022.0
1642347,Jamal Shead,2024.0
1641767,Ben Sheppard,2023.0
1642263,Reed Sheppard,2024.0
1627783,Pascal Siakam,2016.0
1627732,Ben Simmons,2016.0
1629014,Anfernee Simons,2018.0
1642354,KJ Simpson,2024.0
1631301,Jaylen Sims,
1630579,Jericho Sims,2021.0
203935,Marcus Smart,2014.0
1630696,Dru Smith,
1630188,Jalen Smith,2020.0
1642449,Tolu Smith,
1641890,Tyler Smith,2024.0
1631095,Jabari Smith Jr.,2022.0
1641733,Nick Smith Jr.,2023.0
1631110,Jeremy Sochan,2022.0
1642285,Cam Spencer,2024.0
1630311,Pat Spencer,
1630531,Jaden Springer,2021.0
1641815,Isaiah Stevens,
1630205,Lamar Stevens,
1630191,Isaiah Stewart,2020.0
1631124,Julian Strawther,2023.0
1629622,Max Strus,
1630591,Jalen Suggs,2021.0
1631306,Cole Swider,
1630256,Jae'Sean Tate,
1628369,Jayson Tatum,2017.0
1630678,Terry Taylor,
202066,Garrett Temple,
1631207,Dalen Terry,2022.0
1628464,Daniel Theis,
1630560,Cam Thomas,2021.0
1641708,Amen Thompson,2023.0
1641709,Ausar Thompson,2023.0
202691,Klay Thompson,2011.0
202684,Tristan Thompson,2011.0
1630550,JT Thor,2021.0
1629680,Matisse Thybulle,2019.0
1630214,Xavier Tillman,2020.0
1631166,Drew Timme,
1641772,Nae'Qwan Tomlin,
1631210,Jacob Toppin,
1630167,Obi Toppin,2020.0
1626157,Karl-Anthony Towns,2015.0
1642422,Armel Traore,
1631247,Luke Travers,2022.0
1629018,Gary Trent Jr.,2018.0
1631131,Oscar Tshiebwe,
200782,P.J. Tucker,2006.0
1626167,Myles Turner,2015.0
1641816,Hunter Tyson,2023.0
1642281,Jaylon Tyson,2024.0
1630649,Stanley Umude,
202685,Jonas Valančiūnas,2011.0
1627832,Fred VanVleet,
1629020,Jarred Vanderbilt,2018.0
